"id","longitude","latitude","housing_median_age","total_rooms","total_bedrooms","population","households","median_income","median_house_value","ocean_proximity"
9744,-121.65,36.77,15,2191,358,1150,330,4.7969,227500,"<1H OCEAN"
13893,-116.27,34.13,37,452,109,184,59,3.7292,65800,"INLAND"
18277,-122.07,37.34,35,1172,184,512,175,7.3561,500001,"<1H OCEAN"
16176,-122.39,37.74,52,126,24,37,27,10.2264,225000,"NEAR BAY"
8843,-118.38,34.09,28,4001,1352,1799,1220,2.5784,272900,"<1H OCEAN"
7653,-118.27,33.83,28,2152,415,1623,429,4.35,200500,"<1H OCEAN"
14056,-117.13,32.75,23,3999,1182,2051,1130,2.1292,135000,"NEAR OCEAN"
18819,-120.24,39.67,40,690,129,305,110,2.3625,62500,"INLAND"
17145,-122.19,37.45,18,1636,414,853,439,5.1032,464600,"NEAR OCEAN"
16187,-121.29,37.95,52,107,79,167,53,0.7917,22500,"INLAND"
19666,-120.82,37.51,17,1664,253,736,254,4.4083,165800,"INLAND"
18394,-121.86,37.27,19,1852,268,866,272,5.6139,279500,"<1H OCEAN"
6357,-117.96,34.14,9,907,207,619,194,3.9464,179600,"INLAND"
13031,-121.2,38.67,26,1546,287,773,299,2.9803,115400,"INLAND"
10842,-117.91,33.69,30,2704,426,1289,423,5.2815,229500,"<1H OCEAN"
4375,-118.28,34.1,49,1767,467,1066,438,3.0958,210900,"<1H OCEAN"
404,-122.26,37.9,52,1927,279,705,288,7.8864,357300,"NEAR BAY"
11112,-117.9,33.84,31,2043,468,1524,454,3.5329,187400,"<1H OCEAN"
5655,-118.3,33.73,42,1731,NA,866,403,2.7451,255400,"NEAR OCEAN"
1670,-122.23,38.06,52,1350,266,490,257,3.125,171100,"NEAR BAY"
16760,-122.48,37.71,29,1048,150,455,152,6.1278,417600,"NEAR OCEAN"
18329,-122.14,37.45,52,3841,537,1391,540,7.8647,500001,"NEAR BAY"
15062,-116.95,32.79,19,11391,3093,7178,2905,2.0326,123200,"<1H OCEAN"
12775,-121.44,38.61,41,1404,313,765,330,1.8792,63300,"INLAND"
8053,-118.19,33.84,44,2731,577,1396,555,4.1771,219100,"NEAR OCEAN"
1132,-121.63,39.76,22,2598,482,1151,490,2.8182,109700,"INLAND"
3736,-118.4,34.19,35,1631,356,862,368,3.6007,261800,"<1H OCEAN"
3902,-118.51,34.2,33,2327,479,1166,472,4.2344,262500,"<1H OCEAN"
19964,-119.14,36.23,22,2935,523,1927,530,2.5875,70400,"INLAND"
13076,-121.29,38.59,19,2460,470,1346,480,3.6563,95600,"INLAND"
18188,-122.02,37.38,43,1261,317,836,333,4.0911,224600,"<1H OCEAN"
5633,-118.28,33.75,41,1305,381,1384,369,2.45,186800,"NEAR OCEAN"
14640,-117.19,32.79,35,1788,378,777,374,3.3713,238400,"NEAR OCEAN"
12434,-116.01,33.51,24,2985,958,4042,905,1.7344,66400,"INLAND"
6726,-118.11,34.12,48,2476,313,900,303,10.6767,500001,"<1H OCEAN"
1436,-122.01,37.98,25,1476,336,777,297,3.5179,165500,"NEAR BAY"
9336,-122.7,38.03,42,1410,308,624,292,4.1379,309100,"NEAR OCEAN"
11475,-117.99,33.71,17,1600,458,1803,432,2.7865,216700,"<1H OCEAN"
12957,-121.3,38.69,21,6575,1105,3358,1098,4.0739,115400,"INLAND"
6395,-118.06,34.14,42,2461,379,1179,360,7.0315,437300,"INLAND"
5736,-118.23,34.15,26,1649,522,1332,483,3.1004,257100,"<1H OCEAN"
8541,-118.36,33.89,27,2837,684,2141,648,3.1325,215000,"<1H OCEAN"
9902,-122.26,38.28,24,2831,502,1462,503,4.5,158300,"NEAR BAY"
4066,-118.47,34.15,7,6306,1473,2381,1299,4.642,457300,"<1H OCEAN"
17545,-121.87,37.34,52,1170,215,604,207,2.6667,325900,"<1H OCEAN"
15898,-122.39,37.72,45,2893,570,1923,535,3.6607,192300,"NEAR BAY"
14212,-117.06,32.68,38,1481,317,1080,291,2.85,125800,"NEAR OCEAN"
661,-122.15,37.7,36,1464,244,672,261,3.5547,194700,"NEAR BAY"
8198,-118.14,33.8,43,2506,531,1230,543,3.4211,203900,"NEAR OCEAN"
14232,-117.04,32.68,9,3087,609,1530,556,3.775,125000,"NEAR OCEAN"
433,-122.29,37.88,48,2365,490,1034,475,3.1065,229200,"NEAR BAY"
7432,-118.2,33.94,42,618,163,680,179,3.3472,154200,"<1H OCEAN"
7500,-118.25,33.92,44,1737,363,1184,343,2.5363,95900,"<1H OCEAN"
5426,-118.42,34.02,34,2243,444,973,413,4.9676,414100,"<1H OCEAN"
16138,-122.49,37.79,52,2488,281,805,295,10.7058,500001,"NEAR BAY"
10391,-117.65,33.57,5,1998,500,1185,446,4.3542,195600,"<1H OCEAN"
17894,-121.92,37.36,42,198,32,158,32,3.1563,137500,"<1H OCEAN"
18550,-122.02,36.96,52,775,305,1054,305,2.0172,112500,"NEAR OCEAN"
8049,-118.17,33.84,45,1853,328,945,320,5.0787,219200,"<1H OCEAN"
7051,-118.05,33.93,31,894,203,883,190,3.6771,141500,"<1H OCEAN"
12990,-121.26,38.68,4,3080,827,1195,683,2.7477,133000,"INLAND"
20614,-121.55,39.09,31,1728,365,1167,384,1.4958,53400,"INLAND"
