"ID","median_house_value"
19109,97215.3846153846
17007,97215.3846153846
1229,88569.2307692308
18154,97215.3846153846
20519,97215.3846153846
4499,97215.3846153846
16552,97215.3846153846
5303,92407.6923076923
7573,97215.3846153846
6412,97215.3846153846
19301,97215.3846153846
15919,97215.3846153846
6707,96830.7692307692
20304,97215.3846153846
11611,97215.3846153846
5518,97215.3846153846
8917,97215.3846153846
14706,97215.3846153846
9153,97215.3846153846
8434,97215.3846153846
6202,97215.3846153846
16377,97215.3846153846
33,84712.5
15016,100007.692307692
18575,97215.3846153846
2224,97215.3846153846
2278,90676.9230769231
10158,100007.692307692
13523,97215.3846153846
6865,97215.3846153846
4779,90676.9230769231
2326,96830.7692307692
4132,90676.9230769231
2800,96830.7692307692
5841,97215.3846153846
6755,97215.3846153846
4352,90676.9230769231
2687,90676.9230769231
9725,97215.3846153846
2232,93700
14030,97215.3846153846
16859,100507.692307692
8994,97215.3846153846
11828,97215.3846153846
4289,93469.2307692308
14228,97215.3846153846
4473,97215.3846153846
1539,88415.3846153846
3717,90676.9230769231
2900,97215.3846153846
15175,100007.692307692
9139,97215.3846153846
14829,97215.3846153846
20335,100507.692307692
8295,97215.3846153846
11560,97215.3846153846
16310,97215.3846153846
549,81076.9230769231
3789,90676.9230769231
8230,97215.3846153846
9068,100007.692307692
16345,97215.3846153846
11143,97215.3846153846
6792,97215.3846153846
16538,97215.3846153846
18540,97215.3846153846
7741,97215.3846153846
15497,100007.692307692
19339,97215.3846153846
3341,97215.3846153846
4655,90676.9230769231
13465,97215.3846153846
19936,97215.3846153846
11052,100007.692307692
17268,97215.3846153846
10920,97215.3846153846
145,73015.3846153846
20583,97215.3846153846
8353,100007.692307692
5873,97215.3846153846
6851,90676.9230769231
12535,97215.3846153846
2544,90676.9230769231
3229,97215.3846153846
18798,97215.3846153846
16979,97215.3846153846
4895,90676.9230769231
9714,97215.3846153846
10796,97215.3846153846
206,69161.5384615385
19641,97215.3846153846
11931,97215.3846153846
8902,97215.3846153846
13723,97215.3846153846
19989,97215.3846153846
13652,100007.692307692
2503,96830.7692307692
8681,97215.3846153846
13057,97215.3846153846
7352,97330.7692307692
4457,90676.9230769231
6558,92407.6923076923
5469,90676.9230769231
12894,97215.3846153846
759,84938.4615384615
15820,97215.3846153846
12217,100007.692307692
10399,97215.3846153846
1518,89030.7692307692
1163,90015.3846153846
6126,96830.7692307692
20521,97215.3846153846
1898,97215.3846153846
1118,90292.3076923077
10128,100007.692307692
8360,97215.3846153846
10043,97215.3846153846
18350,100007.692307692
2903,89753.8461538462
19184,97215.3846153846
13578,97215.3846153846
6234,97215.3846153846
10266,97215.3846153846
6517,92507.6923076923
7548,97215.3846153846
13161,97215.3846153846
10332,97215.3846153846
16681,100507.692307692
2245,96830.7692307692
